t PE VE R R2
450 0.614219 0.355273 0.488723 0.450017
451 0.676436 0.399756 0.535629 0.512975
452 0.721852 0.437217 0.564009 0.560782
453 0.747446 0.464756 0.572434 0.589105
454 0.751356 0.481578 0.560075 0.597039
455 0.733153 0.489726 0.526806 0.58743
456 0.694568 0.493542 0.473523 0.566862
457 0.639986 0.499857 0.402524 0.544833
458 0.57603 0.517614 0.317686 0.531798
459 0.510161 0.551995 0.224299 0.536417
460 0.44885 0.605439 0.128653 0.563009
461 0.396121 0.675633 0.0375325 0.610073
462 0.35293 0.755552 -0.04228 0.670318
463 0.317503 0.834737 -0.104499 0.732261
464 0.286456 0.90154 -0.1438 0.783118
465 0.25633 0.945849 -0.156242 0.812295
466 0.225111 0.961616 -0.139616 0.814584
467 0.193269 0.948456 -0.0937246 0.792083
468 0.163949 0.911952 -0.0205731 0.754173
469 0.142148 0.862135 0.0755505 0.71523
470 0.132999 0.810786 0.188162 0.69043
471 0.139616 0.768324 0.308876 0.690642
472 0.161248 0.740569 0.427936 0.718015
473 0.192504 0.726676 0.534998 0.763992
474 0.224205 0.718747 0.620124 0.810997
475 0.245864 0.708446 0.674906 0.837848
476 0.249108 0.682161 0.693612 0.827348
477 0.230761 0.637386 0.674124 0.773192
478 0.194217 0.577854 0.618445 0.683018
479 0.148297 0.514085 0.532514 0.575825
480 0.104002 0.458501 0.425223 0.474736
481 0.0707164 0.418567 0.306865 0.398627
482 0.0536213 0.399271 0.187524 0.356564
483 0.0531092 0.398741 0.0759119 0.34683
484 0.0658296 0.410429 -0.0211481 0.359644
485 0.0864325 0.425302 -0.0987457 0.381497
486 0.109275 0.434553 -0.153739 0.399414
487 0.129766 0.432076 -0.184693 0.404379
488 0.145282 0.41648 -0.192023 0.393515
489 0.155648 0.391734 -0.178251 0.370584
490 0.163071 0.365917 -0.148136 0.344301
491 0.171386 0.347974 -0.108305 0.324643
492 0.184669 0.344657 -0.0662373 0.318725
493 0.205724 0.358077 -0.0289327 0.328493
494 0.23525 0.385943 -0.00184937 0.351194
495 0.272054 0.423324 0.011527 0.381608
496 0.313968 0.464406 0.00960139 0.414352
497 0.358836 0.50357 -0.00763582 0.445346
498 0.405084 0.536212 -0.0389346 0.472334
499 0.451755 0.559255 -0.082068 0.494755
500 0.498117 0.571393 -0.134071 0.513248
501 0.543118 0.57315 -0.191449 0.529007
502 0.584945 0.566583 -0.25037 0.543117
503 0.620891 0.554486 -0.306858 0.555997
504 0.647608 0.539599 -0.357019 0.567064
505 0.661681 0.524049 -0.397274 0.574746
506 0.660396 0.509265 -0.424592 0.576873
507 0.642505 0.495685 -0.436701 0.571361
508 0.608728 0.483042 -0.432242 0.557
