t PE VE
661 0.496822 0.0523864
662 0.496812 0.052394
663 0.496802 0.0524016
664 0.496792 0.0524092
665 0.496782 0.0524168
666 0.496772 0.0524245
667 0.496762 0.0524321
668 0.496752 0.0524398
669 0.496742 0.0524475
670 0.496732 0.0524552
671 0.496722 0.0524629
672 0.496712 0.0524707
673 0.496701 0.0524784
674 0.496691 0.0524862
675 0.496681 0.0524939
676 0.496671 0.0525017
677 0.496661 0.0525095
678 0.49665 0.0525173
679 0.49664 0.0525252
680 0.49663 0.052533
681 0.49662 0.0525409
682 0.496609 0.0525487
683 0.496599 0.0525566
684 0.496589 0.0525645
685 0.496578 0.0525724
686 0.496568 0.0525803
687 0.496558 0.0525883
688 0.496547 0.0525962
689 0.496537 0.0526042
690 0.496526 0.0526121
691 0.496516 0.0526201
692 0.496506 0.0526281
693 0.496495 0.0526362
694 0.496485 0.0526442
695 0.496474 0.0526522
696 0.496463 0.0526603
697 0.496453 0.0526684
698 0.496442 0.0526765
699 0.496432 0.0526846
700 0.496421 0.0526927
701 0.496411 0.0527008
702 0.4964 0.0527089
703 0.496389 0.0527171
704 0.496379 0.0527253
705 0.496368 0.0527334
706 0.496357 0.0527416
707 0.496346 0.0527498
708 0.496336 0.0527581
709 0.496325 0.0527663
710 0.496314 0.0527746
711 0.496303 0.0527828
712 0.496293 0.0527911
713 0.496282 0.0527994
714 0.496271 0.0528077
715 0.49626 0.052816
716 0.496249 0.0528244
717 0.496238 0.0528327
718 0.496227 0.0528411
719 0.496216 0.0528495
720 0.496205 0.0528578
721 0.496194 0.0528663
722 0.496183 0.0528747
723 0.496172 0.0528831
724 0.496161 0.0528916
725 0.49615 0.0529
726 0.496139 0.0529085
727 0.496128 0.052917
728 0.496117 0.0529255
729 0.496106 0.052934
730 0.496095 0.0529425
731 0.496084 0.0529511
732 0.496073 0.0529596
733 0.496061 0.0529682
734 0.49605 0.0529768
735 0.496039 0.0529854
736 0.496028 0.052994
737 0.496016 0.0530026
738 0.496005 0.0530113
739 0.495994 0.0530199
740 0.495983 0.0530286
741 0.495971 0.0530373
742 0.49596 0.053046
743 0.495949 0.0530547
744 0.495937 0.0530634
745 0.495926 0.0530722
746 0.495914 0.0530809
747 0.495903 0.0530897
748 0.495891 0.0530985
749 0.49588 0.0531073
750 0.495868 0.0531161
751 0.495857 0.0531249
752 0.495845 0.0531338
753 0.495834 0.0531426
754 0.495822 0.0531515
755 0.495811 0.0531604
756 0.495799 0.0531693
757 0.495788 0.0531782
758 0.495776 0.0531871
759 0.495764 0.0531961
760 0.495753 0.053205
761 0.495741 0.053214
762 0.495729 0.053223
763 0.495717 0.053232
764 0.495706 0.053241
765 0.495694 0.05325
766 0.495682 0.0532591
767 0.49567 0.0532681
768 0.495659 0.0532772
769 0.495647 0.0532863
770 0.495635 0.0532954
771 0.495623 0.0533045
772 0.495611 0.0533136
773 0.495599 0.0533228
774 0.495587 0.0533319
775 0.495575 0.0533411
776 0.495563 0.0533503
777 0.495551 0.0533595
778 0.495539 0.0533687
779 0.495527 0.0533779
780 0.495515 0.0533872
781 0.495503 0.0533964
782 0.495491 0.0534057
783 0.495479 0.053415
784 0.495467 0.0534243
785 0.495455 0.0534336
786 0.495443 0.0534429
787 0.495431 0.0534523
788 0.495418 0.0534617
789 0.495406 0.053471
790 0.495394 0.0534804
791 0.495382 0.0534898
792 0.495369 0.0534992
793 0.495357 0.0535087
794 0.495345 0.0535181
795 0.495333 0.0535276
796 0.49532 0.0535371
797 0.495308 0.0535466
798 0.495295 0.0535561
799 0.495283 0.0535656
800 0.495271 0.0535751
801 0.495258 0.0535847
802 0.495246 0.0535942
803 0.495233 0.0536038
804 0.495221 0.0536134
805 0.495208 0.053623
806 0.495196 0.0536326
807 0.495183 0.0536423
808 0.495171 0.0536519
809 0.495158 0.0536616
810 0.495146 0.0536713
811 0.495133 0.053681
812 0.49512 0.0536907
813 0.495108 0.0537004
814 0.495095 0.0537102
815 0.495082 0.0537199
816 0.49507 0.0537297
817 0.495057 0.0537395
818 0.495044 0.0537493
819 0.495031 0.0537591
820 0.495019 0.0537689
821 0.495006 0.0537788
822 0.494993 0.0537886
823 0.49498 0.0537985
824 0.494967 0.0538084
825 0.494955 0.0538183
826 0.494942 0.0538282
827 0.494929 0.0538382
828 0.494916 0.0538481
829 0.494903 0.0538581
830 0.49489 0.0538681
831 0.494877 0.0538781
832 0.494864 0.0538881
833 0.494851 0.0538981
834 0.494838 0.0539081
835 0.494825 0.0539182
836 0.494812 0.0539283
837 0.494799 0.0539384
838 0.494785 0.0539485
839 0.494772 0.0539586
840 0.494759 0.0539687
841 0.494746 0.0539788
842 0.494733 0.053989
843 0.49472 0.0539992
844 0.494706 0.0540094
845 0.494693 0.0540196
846 0.49468 0.0540298
847 0.494666 0.05404
848 0.494653 0.0540503
849 0.49464 0.0540606
850 0.494626 0.0540708
851 0.494613 0.0540811
852 0.4946 0.0540915
853 0.494586 0.0541018
854 0.494573 0.0541121
855 0.494559 0.0541225
856 0.494546 0.0541329
857 0.494533 0.0541432
858 0.494519 0.0541536
859 0.494505 0.0541641
860 0.494492 0.0541745
861 0.494478 0.0541849
862 0.494465 0.0541954
863 0.494451 0.0542059
864 0.494438 0.0542164
865 0.494424 0.0542269
866 0.49441 0.0542374
867 0.494397 0.054248
868 0.494383 0.0542585
869 0.494369 0.0542691
870 0.494355 0.0542797
871 0.494342 0.0542903
872 0.494328 0.0543009
873 0.494314 0.0543115
874 0.4943 0.0543222
875 0.494286 0.0543328
876 0.494273 0.0543435
877 0.494259 0.0543542
878 0.494245 0.0543649
879 0.494231 0.0543757
880 0.494217 0.0543864
881 0.494203 0.0543972
882 0.494189 0.0544079
883 0.494175 0.0544187
884 0.494161 0.0544295
885 0.494147 0.0544403
886 0.494133 0.0544512
887 0.494119 0.054462
888 0.494105 0.0544729
889 0.494091 0.0544838
890 0.494077 0.0544947
891 0.494062 0.0545056
892 0.494048 0.0545165
893 0.494034 0.0545275
894 0.49402 0.0545384
895 0.494006 0.0545494
896 0.493991 0.0545604
897 0.493977 0.0545714
898 0.493963 0.0545824
899 0.493949 0.0545934
900 0.493934 0.0546045
901 0.49392 0.0546156
902 0.493906 0.0546267
903 0.493891 0.0546378
904 0.493877 0.0546489
905 0.493862 0.05466
906 0.493848 0.0546711
907 0.493833 0.0546823
908 0.493819 0.0546935
909 0.493804 0.0547047
910 0.49379 0.0547159
911 0.493775 0.0547271
912 0.493761 0.0547384
913 0.493746 0.0547496
914 0.493732 0.0547609
915 0.493717 0.0547722
916 0.493702 0.0547835
917 0.493688 0.0547948
918 0.493673 0.0548061
919 0.493658 0.0548175
920 0.493644 0.0548289
921 0.493629 0.0548403
922 0.493614 0.0548517
923 0.493599 0.0548631
924 0.493584 0.0548745
925 0.49357 0.054886
926 0.493555 0.0548974
927 0.49354 0.0549089
928 0.493525 0.0549204
929 0.49351 0.0549319
930 0.493495 0.0549434
931 0.49348 0.054955
932 0.493465 0.0549665
933 0.49345 0.0549781
934 0.493435 0.0549897
935 0.49342 0.0550013
936 0.493405 0.0550129
937 0.49339 0.0550246
938 0.493375 0.0550362
939 0.49336 0.0550479
940 0.493345 0.0550596
941 0.49333 0.0550713
942 0.493314 0.055083
943 0.493299 0.0550948
944 0.493284 0.0551065
945 0.493269 0.0551183
946 0.493254 0.0551301
947 0.493238 0.0551419
948 0.493223 0.0551537
949 0.493208 0.0551655
950 0.493192 0.0551774
951 0.493177 0.0551893
952 0.493162 0.0552011
953 0.493146 0.055213
954 0.493131 0.055225
955 0.493115 0.0552369
956 0.4931 0.0552488
957 0.493084 0.0552608
958 0.493069 0.0552728
959 0.493053 0.0552848
960 0.493038 0.0552968
961 0.493022 0.0553088
962 0.493007 0.0553209
963 0.492991 0.0553329
964 0.492975 0.055345
965 0.49296 0.0553571
966 0.492944 0.0553692
967 0.492928 0.0553813
968 0.492913 0.0553935
969 0.492897 0.0554057
970 0.492881 0.0554178
971 0.492865 0.05543
972 0.49285 0.0554422
973 0.492834 0.0554545
974 0.492818 0.0554667
975 0.492802 0.055479
976 0.492786 0.0554912
977 0.49277 0.0555035
978 0.492754 0.0555159
979 0.492739 0.0555282
980 0.492723 0.0555405
981 0.492707 0.0555529
982 0.492691 0.0555653
983 0.492675 0.0555777
984 0.492659 0.0555901
985 0.492642 0.0556025
986 0.492626 0.0556149
987 0.49261 0.0556274
988 0.492594 0.0556399
989 0.492578 0.0556524
990 0.492562 0.0556649
991 0.492546 0.0556774
992 0.492529 0.0556899
993 0.492513 0.0557025
994 0.492497 0.0557151
995 0.492481 0.0557277
996 0.492464 0.0557403
997 0.492448 0.0557529
998 0.492432 0.0557656
999 0.492415 0.0557782
1000 0.492399 0.0557909
1001 0.492383 0.0558036
1002 0.492366 0.0558163
1003 0.49235 0.055829
1004 0.492333 0.0558418
1005 0.492317 0.0558545
1006 0.4923 0.0558673
1007 0.492284 0.0558801
1008 0.492267 0.0558929
1009 0.49225 0.0559057
1010 0.492234 0.0559186
1011 0.492217 0.0559315
1012 0.492201 0.0559443
1013 0.492184 0.0559572
1014 0.492167 0.0559701
1015 0.492151 0.0559831
1016 0.492134 0.055996
1017 0.492117 0.056009
1018 0.4921 0.056022
1019 0.492084 0.056035
1020 0.492067 0.056048
1021 0.49205 0.056061
1022 0.492033 0.0560741
1023 0.492016 0.0560871
1024 0.491999 0.0561002
1025 0.491982 0.0561133
1026 0.491965 0.0561264
1027 0.491948 0.0561396
1028 0.491931 0.0561527
1029 0.491914 0.0561659
1030 0.491897 0.0561791
1031 0.49188 0.0561923
1032 0.491863 0.0562055
1033 0.491846 0.0562188
1034 0.491829 0.056232
1035 0.491812 0.0562453
1036 0.491795 0.0562586
1037 0.491778 0.0562719
1038 0.49176 0.0562852
1039 0.491743 0.0562986
1040 0.491726 0.0563119
1041 0.491709 0.0563253
1042 0.491691 0.0563387
1043 0.491674 0.0563521
1044 0.491657 0.0563655
1045 0.491639 0.056379
1046 0.491622 0.0563924
1047 0.491604 0.0564059
1048 0.491587 0.0564194
1049 0.49157 0.0564329
1050 0.491552 0.0564465
1051 0.491535 0.05646
1052 0.491517 0.0564736
1053 0.4915 0.0564872
1054 0.491482 0.0565008
1055 0.491464 0.0565144
1056 0.491447 0.056528
1057 0.491429 0.0565417
1058 0.491412 0.0565554
1059 0.491394 0.0565691
1060 0.491376 0.0565828
1061 0.491358 0.0565965
1062 0.491341 0.0566102
1063 0.491323 0.056624
1064 0.491305 0.0566378
1065 0.491287 0.0566516
1066 0.49127 0.0566654
1067 0.491252 0.0566792
1068 0.491234 0.0566931
1069 0.491216 0.056707
1070 0.491198 0.0567208
1071 0.49118 0.0567347
1072 0.491162 0.0567487
1073 0.491144 0.0567626
1074 0.491126 0.0567766
1075 0.491108 0.0567905
1076 0.49109 0.0568045
