t PE VE R R2
542 -0.160788 0.288464 -0.0148266 0.272072
543 -0.642586 0.30772 -0.0018256 0.288461
544 -1.08506 0.377428 0.00793074 0.346499
545 -1.4803 0.49531 0.0139978 0.441955
546 -1.82196 0.657221 0.0161541 0.567957
547 -2.10519 0.855983 0.0144123 0.715502
548 -2.32664 1.0801 0.00901675 0.87408
549 -2.48439 1.31396 0.000427194 1.0324
550 -2.5778 1.53888 -0.0107107 1.17914
551 -2.6074 1.73505 -0.0236051 1.30371
552 -2.5747 1.88393 -0.037367 1.39697
553 -2.48206 1.97062 -0.0510644 1.45182
554 -2.33253 1.98577 -0.0637791 1.46378
555 -2.12968 1.92682 -0.0746626 1.43124
556 -1.87747 1.79845 -0.0829879 1.3557
557 -1.58021 1.6121 -0.0881933 1.24169
558 -1.24248 1.38458 -0.0899165 1.09652
559 -0.869109 1.13592 -0.0880176 0.929793
560 -0.465258 0.887025 -0.0825867 0.752779
561 -0.0364476 0.657055 -0.0739401 0.577609
562 0.411339 0.461288 -0.0626004 0.416406
563 0.871572 0.309458 -0.0492665 0.28039
564 1.33711 0.205048 -0.034771 0.179051
565 1.8002 0.146667 -0.0200307 0.11944
566 2.25246 0.131854 -0.00599183 0.105652
567 2.68505 0.159326 0.00642754 0.138544
568 3.08878 0.230817 0.0163923 0.215687
569 3.4544 0.348194 0.0232013 0.331583
570 3.77286 0.510836 0.0263298 0.478091
571 4.03564 0.712912 0.025462 0.645042
572 4.23509 0.942897 0.0205111 0.820985
573 4.36476 1.18455 0.0116258 0.99399
574 4.41971 1.41859 -0.000817131 1.15247
575 4.39673 1.62491 -0.0162338 1.28597
576 4.29458 1.78504 -0.0338663 1.3858
577 4.11409 1.88441 -0.0528264 1.44566
578 3.85825 1.91422 -0.0721468 1.46196
579 3.53213 1.87251 -0.0908368 1.4341
580 3.14285 1.76432 -0.10794 1.36446
581 2.69938 1.60099 -0.12259 1.25829
582 2.21231 1.39858 -0.13406 1.12332
583 1.69354 1.1758 -0.141805 0.969321
584 1.15589 0.95166 -0.145491 0.807401
585 0.612736 0.743044 -0.145019 0.649274
586 0.0775255 0.563341 -0.140524 0.50643
587 -0.436662 0.421972 -0.132369 0.389314
588 -0.917555 0.324337 -0.121121 0.306545
589 -1.3541 0.274425 -0.107519 0.264268
590 -1.73678 0.274788 -0.0924283 0.265669
591 -2.05791 0.326314 -0.0767866 0.310716
