r r 
0.0432207 0.0321796 
-0.0773897 0.0768882 
0.250143 0.207733 
0.0704462 -0.0948559 
-0.447786 -0.415507 
-0.274923 -0.0120611 
0.554406 0.483799 
0.610818 0.119322 
-0.0246512 -0.0373196 
0.0340614 0.0230555 
-0.0774856 0.0762907 
0.254152 0.211877 
0.079312 -0.0854533 
-0.46042 -0.428244 
-0.278336 -0.0163218 
0.551968 0.481586 
0.610752 0.120842 
-0.01613 -0.028758 
0.0254299 0.0144591 
-0.0766725 0.0766041 
0.260006 0.217866 
0.0821478 -0.0820827 
-0.472843 -0.44077 
-0.278381 -0.0172121 
0.548637 0.478479 
0.609981 0.121653 
-0.00602818 -0.0186158 
0.0188504 0.00791471 
-0.0726951 0.0800838 
0.265163 0.223158 
0.084631 -0.0790667 
-0.484484 -0.452514 
-0.277854 -0.0175279 
0.544354 0.47442 
0.606785 0.120033 
0.00132787 -0.0112195 
0.0153642 0.00446341 
-0.0712917 0.0809913 
0.269755 0.227884 
0.0851255 -0.0780414 
-0.497417 -0.465548 
-0.277692 -0.0182049 
0.542211 0.472501 
0.599045 0.113864 
0.00819856 -0.00430863 
0.00613873 -0.00472712 
-0.0683082 0.0834808 
0.273881 0.232144 
0.087032 -0.0756061 
-0.510093 -0.478327 
-0.280112 -0.0214624 
0.544325 0.474839 
0.587377 0.103763 
0.0104309 -0.0020362 
-0.00500346 -0.0158345 
-0.0665828 0.084714 
0.280053 0.23845 
0.0911101 -0.0710011 
-0.51735 -0.485685 
-0.28399 -0.0261748 
0.544322 0.475058 
0.576677 0.0946234 
0.00803683 -0.00439034 
-0.015298 -0.0260943 
-0.0632333 0.0875732 
0.289678 0.248208 
0.0929239 -0.0686623 
-0.523903 -0.492339 
-0.287207 -0.0302236 
0.547127 0.478085 
0.568266 0.0877684 
0.00484937 -0.00753794 
-0.0266029 -0.0373646 
-0.0578215 0.0924964 
0.300949 0.259613 
0.0976815 -0.0633815 
-0.529008 -0.497546 
-0.291658 -0.0355042 
0.549687 0.480867 
0.564428 0.0854821 
-0.00071406 -0.0130616 
-0.0424249 -0.0531521 
-0.0524082 0.0974228 
0.310449 0.269245 
0.0984004 -0.0621413 
-0.532503 -0.501142 
-0.294538 -0.0392108 
0.549543 0.480943 
0.560438 0.0830377 
-0.00607559 -0.0183835 
-0.0573464 -0.0680391 
-0.0434041 0.105942 
0.319822 0.27875 
0.0963676 -0.0636547 
-0.540055 -0.508795 
-0.297623 -0.043119 
0.55154 0.48316 
0.55567 0.0798099 
-0.0133501 -0.0256184 
-0.073256 -0.0839144 
-0.032427 0.116436 
0.329551 0.288611 
0.0969539 -0.0625507 
-0.546014 -0.514854 
-0.304423 -0.0507404 
0.553072 0.484912 
0.553338 0.0790137 
-0.022734 -0.034963 
-0.0885107 -0.0991349 
-0.0219414 0.12644 
0.341248 0.30044 
0.098991 -0.0599977 
-0.552777 -0.521717 
-0.311668 -0.0588037 
0.554825 0.486884 
0.55368 0.0808873 
-0.0309658 -0.0431554 
-0.101959 -0.112549 
-0.0071225 0.140778 
0.349587 0.30891 
0.102018 -0.0564564 
-0.557511 -0.526551 
-0.318625 -0.066577 
0.553149 0.485427 
0.556382 0.085115 
-0.0362497 -0.0484001 
-0.115503 -0.126059 
0.007021 0.154444 
0.353981 0.313435 
0.102042 -0.0559199 
-0.562749 -0.531889 
-0.324811 -0.0735757 
0.55124 0.483736 
0.558051 0.0883046 
-0.0433395 -0.0554509 
-0.122531 -0.133053 
0.0171078 0.164054 
0.356859 0.316443 
0.101004 -0.0564479 
-0.570706 -0.539945 
-0.330201 -0.0797762 
0.551219 0.483932 
0.560914 0.092684 
-0.0527029 -0.0647753 
-0.129602 -0.140091 
0.0268054 0.173276 
0.361541 0.321255 
0.0968387 -0.060104 
-0.581228 -0.550565 
-0.334857 -0.0852406 
0.55152 0.484449 
0.558218 0.0914986 
-0.0622084 -0.074242 
-0.135243 -0.145697 
0.0328464 0.178844 
0.36764 0.327484 
0.0886292 -0.0678063 
-0.590677 -0.560114 
-0.338371 -0.0895605 
0.550071 0.483216 
0.551597 0.0863844 
-0.0685256 -0.0805204 
-0.14243 -0.152851 
0.0419681 0.187494 
0.373033 0.333006 
0.0827625 -0.0731676 
-0.598494 -0.568029 
-0.345989 -0.0979812 
0.552332 0.485693 
0.547302 0.0835904 
-0.0764223 -0.0883785 
-0.146888 -0.157275 
0.0484913 0.193546 
0.379976 0.340078 
0.0803512 -0.0750751 
-0.606821 -0.576454 
-0.35486 -0.107652 
0.556323 0.489898 
0.545012 0.082797 
-0.0863414 -0.0982591 
-0.152391 -0.162744 
0.0556013 0.200188 
0.385792 0.346023 
0.0788174 -0.0761068 
-0.61285 -0.582581 
-0.361555 -0.115145 
0.558275 0.492064 
0.54479 0.0840665 
-0.0916311 -0.10351 
-0.156344 -0.166664 
0.0622669 0.206386 
0.389415 0.349773 
0.0773622 -0.0770616 
-0.623436 -0.593264 
-0.366937 -0.121322 
0.559839 0.493841 
0.542259 0.0830221 
-0.0979831 -0.109824 
-0.160838 -0.171125 
0.0688393 0.212493 
0.392941 0.353427 
0.0767857 -0.0771394 
-0.63015 -0.600075 
-0.374999 -0.130176 
0.556473 0.490688 
0.537315 0.0795603 
-0.106326 -0.118129 
-0.168923 -0.179177 
0.0727928 0.215983 
0.391194 0.351807 
0.077256 -0.076172 
-0.635468 -0.605491 
-0.380833 -0.1368 
0.551035 0.485461 
0.528565 0.0722875 
-0.11207 -0.123835 
-0.179836 -0.190057 
0.0773646 0.220092 
0.383837 0.344578 
0.0743704 -0.0785621 
-0.637711 -0.60783 
-0.382644 -0.139399 
0.542132 0.47677 
0.522335 0.0675302 
-0.120095 -0.131822 
-0.190177 -0.200365 
0.0797508 0.222017 
0.377516 0.338383 
0.0697366 -0.082702 
-0.641264 -0.611479 
-0.384392 -0.141932 
0.533627 0.468475 
0.517501 0.0641643 
-0.12924 -0.140929 
-0.197844 -0.207999 
0.0781833 0.21999 
0.374282 0.335275 
0.0665649 -0.0853815 
-0.647856 -0.618168 
-0.387527 -0.145849 
0.523454 0.458513 
0.509892 0.0580177 
-0.137481 -0.149132 
-0.203806 -0.213928 
0.0787951 0.220144 
0.371061 0.33218 
0.0632424 -0.0882134 
-0.657814 -0.628221 
-0.390213 -0.149315 
0.515603 0.450871 
0.506196 0.0557798 
-0.147194 -0.158808 
-0.206362 -0.216452 
0.0784483 0.219341 
0.36721 0.328454 
0.0551402 -0.0958266 
-0.667121 -0.637623 
-0.396324 -0.156204 
0.507273 0.44275 
0.502171 0.0532087 
-0.154733 -0.166309 
-0.212223 -0.22228 
0.0759266 0.216364 
0.365094 0.326464 
0.0448108 -0.105669 
-0.672172 -0.64277 
-0.401075 -0.161729 
0.498262 0.433946 
0.499013 0.0514994 
-0.16189 -0.173429 
-0.217985 -0.228009 
0.0744052 0.214389 
0.361936 0.32343 
0.0357452 -0.114248 
-0.676308 -0.647 
-0.406101 -0.167527 
0.491819 0.427711 
0.495493 0.0494239 
-0.168048 -0.17955 
-0.217698 -0.22769 
0.0703326 0.209865 
0.360834 0.322452 
0.0240813 -0.125428 
-0.675436 -0.646223 
-0.407545 -0.169742 
0.48882 0.424919 
0.491282 0.0466523 
-0.172816 -0.184281 
-0.215486 -0.225446 
0.0667404 0.205822 
0.355347 0.317089 
0.0135983 -0.135429 
-0.676323 -0.647205 
-0.410666 -0.17363 
0.484315 0.42062 
0.487199 0.044004 
-0.178822 -0.19025 
-0.215785 -0.225713 
0.0630847 0.201718 
0.346893 0.308758 
