t PE VE R00
649 9.79211 1.10432 -0.0593031
650 9.77758 1.10541 -0.0593966
651 9.76304 1.10649 -0.05949
652 9.74849 1.10757 -0.0595834
653 9.73393 1.10865 -0.0596769
654 9.71937 1.10972 -0.0597703
655 9.70479 1.11078 -0.0598637
656 9.69021 1.11184 -0.0599572
657 9.67562 1.1129 -0.0600506
658 9.66102 1.11395 -0.0601441
659 9.64641 1.115 -0.0602376
660 9.63179 1.11604 -0.060331
661 9.61717 1.11708 -0.0604245
662 9.60253 1.11812 -0.060518
663 9.58789 1.11915 -0.0606115
664 9.57325 1.12018 -0.0607049
665 9.55859 1.1212 -0.0607984
666 9.54393 1.12222 -0.0608919
667 9.52925 1.12323 -0.0609854
668 9.51458 1.12424 -0.0610789
669 9.49989 1.12525 -0.0611724
670 9.4852 1.12625 -0.0612659
671 9.4705 1.12725 -0.0613594
672 9.45579 1.12824 -0.0614529
673 9.44107 1.12923 -0.0615465
674 9.42635 1.13022 -0.06164
675 9.41162 1.1312 -0.0617335
676 9.39689 1.13218 -0.061827
677 9.38214 1.13315 -0.0619206
678 9.36739 1.13412 -0.0620141
679 9.35264 1.13509 -0.0621076
680 9.33788 1.13605 -0.0622012
681 9.32311 1.13701 -0.0622947
682 9.30833 1.13797 -0.0623883
683 9.29355 1.13892 -0.0624818
684 9.27876 1.13986 -0.0625754
685 9.26397 1.14081 -0.0626689
686 9.24917 1.14175 -0.0627625
687 9.23437 1.14268 -0.0628561
688 9.21955 1.14361 -0.0629496
689 9.20474 1.14454 -0.0630432
690 9.18991 1.14546 -0.0631368
691 9.17509 1.14639 -0.0632304
692 9.16025 1.1473 -0.063324
693 9.14541 1.14822 -0.0634175
694 9.13057 1.14912 -0.0635111
695 9.11572 1.15003 -0.0636047
696 9.10086 1.15093 -0.0636983
697 9.086 1.15183 -0.0637919
698 9.07114 1.15273 -0.0638855
699 9.05627 1.15362 -0.0639791
700 9.04139 1.15451 -0.0640727
701 9.02651 1.15539 -0.0641663
702 9.01163 1.15627 -0.0642599
703 8.99674 1.15715 -0.0643536
704 8.98184 1.15803 -0.0644472
705 8.96695 1.1589 -0.0645408
706 8.95204 1.15976 -0.0646344
707 8.93714 1.16063 -0.064728
708 8.92222 1.16149 -0.0648217
709 8.90731 1.16235 -0.0649153
710 8.89239 1.1632 -0.0650089
711 8.87747 1.16405 -0.0651026
712 8.86254 1.1649 -0.0651962
713 8.84761 1.16574 -0.0652898
714 8.83267 1.16658 -0.0653835
715 8.81774 1.16742 -0.0654771
716 8.80279 1.16826 -0.0655708
717 8.78785 1.16909 -0.0656644
718 8.7729 1.16992 -0.0657581
719 8.75795 1.17074 -0.0658517
720 8.74299 1.17157 -0.0659454
721 8.72803 1.17238 -0.066039
722 8.71307 1.1732 -0.0661327
723 8.69811 1.17401 -0.0662263
724 8.68314 1.17482 -0.06632
725 8.66817 1.17563 -0.0664137
726 8.6532 1.17644 -0.0665073
727 8.63822 1.17724 -0.066601
728 8.62324 1.17804 -0.0666947
729 8.60826 1.17883 -0.0667884
730 8.59328 1.17962 -0.066882
731 8.57829 1.18041 -0.0669757
732 8.56331 1.1812 -0.0670694
733 8.54832 1.18198 -0.0671631
734 8.53332 1.18277 -0.0672567
735 8.51833 1.18354 -0.0673504
736 8.50333 1.18432 -0.0674441
737 8.48834 1.18509 -0.0675378
738 8.47334 1.18586 -0.0676315
739 8.45834 1.18663 -0.0677252
740 8.44333 1.1874 -0.0678189
741 8.42833 1.18816 -0.0679125
742 8.41332 1.18892 -0.0680062
