n t PE VE R R2 BS
2910 1827 0.769714 0.881236 -0.319918 0.377897 0.410694
2920 1819 0.781872 0.836571 -0.336575 0.350583 0.389163
2930 1830 0.797216 0.787431 -0.339427 0.321369 0.369463
2940 2434 0.671036 0.74573 -0.34585 0.301758 0.345671
2950 2273 0.760302 0.741798 -0.358897 0.308435 0.334051
2960 1989 0.981791 0.762826 -0.364677 0.328357 0.319368
2970 2445 0.918189 0.810706 -0.357701 0.361211 0.313643
2980 1816 0.562752 0.875888 -0.352165 0.409552 0.32215
2990 2443 0.342445 0.95236 -0.360813 0.47392 0.325211
3000 1816 0.319017 1.02664 -0.375723 0.544791 0.324522
3010 1892 0.505239 1.09955 -0.395269 0.61973 0.329238
3020 2326 0.937783 1.15256 -0.412208 0.684654 0.335319
3030 1826 1.48832 1.2163 -0.42682 0.764001 0.343879
3040 2244 1.86677 1.28427 -0.441292 0.839999 0.351057
3050 2050 2.16453 1.29098 -0.435753 0.850909 0.343908
3060 1815 2.46691 1.26401 -0.421378 0.822401 0.337345
3070 2446 2.74706 1.23391 -0.39141 0.775691 0.346089
3080 1813 3.03659 1.20349 -0.360586 0.721649 0.362529
3090 2445 3.1666 1.1793 -0.319516 0.672309 0.383275
3100 1817 3.0662 1.13221 -0.265833 0.612602 0.400022
3110 1817 2.70038 1.09233 -0.218176 0.561144 0.41535
3120 2446 2.39744 1.03973 -0.164179 0.501238 0.432341
3130 1818 2.22243 0.981464 -0.0952611 0.437817 0.441181
3140 2445 2.21464 0.892697 -0.0329621 0.368109 0.423845
3150 1815 2.02867 0.803102 0.0636143 0.311203 0.397594
3160 2135 1.58489 0.74706 0.170628 0.284386 0.359955
3170 2131 0.939864 0.7174 0.255944 0.278051 0.326076
3180 2193 0.182642 0.719513 0.326785 0.292951 0.304877
3190 2067 -0.591549 0.782862 0.410161 0.34781 0.30664
3200 1815 -1.02283 0.874781 0.493719 0.423348 0.31551
3210 1819 -1.24813 1.02174 0.591054 0.544111 0.340165
3220 2089 -1.39098 1.2488 0.702708 0.719922 0.37346
3230 2183 -0.991554 1.47247 0.816251 0.904975 0.392562
3240 1833 -0.411963 1.70232 0.927385 1.10544 0.404074
3250 2458 0.0349763 1.97263 1.02295 1.32448 0.435579
3260 1819 0.526749 2.24559 1.10269 1.54018 0.472896
3270 2444 0.968118 2.54082 1.1787 1.76528 0.503881
3280 1817 1.54174 2.80447 1.24536 1.97163 0.519163
3290 1814 2.3861 2.98621 1.3017 2.14104 0.513902
3300 2443 3.35187 3.01886 1.33272 2.22182 0.483522
3310 2188 4.28223 2.9674 1.35606 2.25874 0.432652
3320 2071 4.98022 2.90217 1.37201 2.28699 0.376139
3330 1817 5.23298 2.78796 1.37087 2.27 0.309094
3340 2443 5.20571 2.64241 1.34599 2.18707 0.248913
3350 1816 4.77842 2.47681 1.29234 2.04078 0.224978
3360 1985 4.14687 2.312 1.21916 1.856 0.243685
3370 2288 3.58203 2.10576 1.12318 1.61132 0.277481
3380 2264 3.13067 1.93429 1.0305 1.39548 0.312312
3390 1999 2.82023 1.76842 0.926673 1.19322 0.340138
3400 1813 2.60543 1.66971 0.839562 1.05722 0.371684
3410 2444 2.29676 1.65812 0.797442 1.02153 0.408859
3420 1820 1.92867 1.60248 0.745877 0.968627 0.436779
3430 2454 1.8253 1.49706 0.690002 0.899794 0.445057
3440 1856 1.96132 1.38612 0.634342 0.830015 0.442904
3450 1827 2.43185 1.3192 0.583798 0.780914 0.435627
3460 2470 2.87326 1.25414 0.532164 0.726801 0.418468
3470 1843 3.34303 1.17315 0.481253 0.661178 0.406114
3480 1898 3.78454 1.09136 0.443144 0.597208 0.38891
3490 2394 4.12635 0.985816 0.397126 0.50867 0.368215
