t PE VE R R2
411 0.378531 0.962494 0.18973 0.803387
412 0.416897 1.02795 0.235383 0.855705
413 0.449288 1.06978 0.259481 0.886594
414 0.472882 1.0819 0.260222 0.889863
415 0.487 1.06229 0.236869 0.864268
416 0.493316 1.01342 0.189825 0.814013
417 0.495611 0.942 0.120684 0.748255
418 0.49907 0.857857 0.0322357 0.679613
419 0.509208 0.772167 -0.071601 0.621847
420 0.530613 0.6958 -0.185917 0.587105
421 0.565757 0.637464 -0.305041 0.583275
422 0.614157 0.601744 -0.422845 0.612062
423 0.672117 0.589256 -0.533091 0.66829
424 0.73314 0.595883 -0.629799 0.740667
425 0.78896 0.608908 -0.707575 0.813872
426 0.830981 0.619781 -0.761895 0.871555
427 0.851845 0.620966 -0.789328 0.899638
428 0.846829 0.608796 -0.787709 0.889316
429 0.81482 0.580999 -0.756292 0.83919
430 0.758672 0.540545 -0.695888 0.756121
431 0.684839 0.494515 -0.608984 0.654445
432 0.602254 0.454939 -0.499778 0.553396
433 0.520621 0.433724 -0.374062 0.47299
434 0.448463 0.438938 -0.238834 0.429254
435 0.391473 0.473211 -0.101666 0.430319
436 0.351654 0.53454 0.03006 0.474791
437 0.327444 0.616018 0.149809 0.552875
438 0.314664 0.707474 0.252288 0.649441
439 0.307853 0.797748 0.333558 0.747684
440 0.30161 0.87675 0.390963 0.832305
441 0.291673 0.935928 0.422996 0.891767
442 0.275652 0.969927 0.429179 0.919594
443 0.253366 0.977155 0.409985 0.914811
444 0.226789 0.959806 0.366782 0.881623
445 0.19965 0.923217 0.301787 0.828416
446 0.176724 0.873947 0.218014 0.766229
447 0.162934 0.819507 0.119205 0.706884
448 0.162379 0.767401 0.00975234 0.661025
449 0.177474 0.723162 -0.1054 0.636316
450 0.208324 0.690059 -0.220875 0.636039
451 0.25252 0.669104 -0.331023 0.658292
452 0.305412 0.656969 -0.430169 0.696037
453 0.360889 0.649551 -0.512954 0.738183
454 0.412524 0.641124 -0.574775 0.771776
455 0.454858 0.624838 -0.612254 0.784938
456 0.484538 0.596817 -0.623663 0.769849
457 0.500993 0.555928 -0.609203 0.724793
458 0.506414 0.50406 -0.571069 0.65452
459 0.504964 0.446654 -0.51321 0.568727
460 0.501467 0.390246 -0.440798 0.479213
461 0.500024 0.340104 -0.359479 0.396786
462 0.503096 0.300553 -0.274618 0.329067
463 0.511268 0.272434 -0.190729 0.279707
464 0.523608 0.255371 -0.111234 0.248857
465 0.538287 0.247642 -0.0384882 0.234244
466 0.553192 0.246903 0.026004 0.23231
467 0.566363 0.250688 0.0813421 0.23909
468 0.576243 0.256916 0.127021 0.250777
469 0.581775 0.264002 0.162797 0.264068
470 0.582421 0.270649 0.188626 0.276354
471 0.578119 0.276036 0.204641 0.285834
472 0.569229 0.279657 0.21116 0.291556
473 0.556464 0.281679 0.2087 0.293404
474 0.54081 0.282708 0.197992 0.292022
475 0.523437 0.283871 0.179994 0.288659
476 0.505586 0.286324 0.155901 0.284961
477 0.488456 0.291252 0.127134 0.282698
478 0.473083 0.299777 0.0953129 0.283481
479 0.460246 0.312474 0.0622078 0.288484
480 0.450416 0.329288 0.029662 0.298243
481 0.443758 0.349526 -0.000501238 0.312562
482 0.440189 0.371946 -0.0265796 0.330561
483 0.439475 0.395115 -0.0470846 0.350843
